Name,Store,Price,Date,Tag
Plate,Panda Express,11.02,2026-06-16,Eating out
Groceries,Aldi,57.55,2026-06-17,Groceries
Chicken Sandwhich,Chick-fil-A,5.45,2026-06-17,Eating out
Cinnamon Roll,Mujo Cafe,4.5,2026-05-13,Eating out
Ramen,Nagomi,19.03,2026-05-09,Eating out
Parking,UMICH,5.45,2026-07-07,Parking
Groceries,Aldi,75.57,2026-06-09,Groceries
Prescription Co-pay,UHS,7.54,2026-06-29,Health
Groceries,Meijer,70.91,2026-07-16,Groceries
Snail and magnet,AA Art Fair,20.0,2026-07-17,None
Dandruff shampoo and conditioner,Amazon,33.41,2026-07-18,Health
